city,state,zip_code
Adjuntas,puerto rico,601
Aguada,puerto rico,602
Aguadilla,puerto rico,603
Maricao,puerto rico,606
Anasco,puerto rico,610
Arecibo,puerto rico,612
Bajadero,puerto rico,616
Barceloneta,puerto rico,617
Boqueron,puerto rico,622
Cabo Rojo,puerto rico,623
Penuelas,puerto rico,624
Camuy,puerto rico,627
Castaner,puerto rico,631
Sabana Grande,puerto rico,637
Ciales,puerto rico,638
Utuado,puerto rico,641
Dorado,puerto rico,646
Ensenada,puerto rico,647
Florida,puerto rico,650
Garrochales,puerto rico,652
Guanica,puerto rico,653
Guayanilla,puerto rico,656
Hatillo,puerto rico,659
Hormigueros,puerto rico,660
Isabela,puerto rico,662
Jayuya,puerto rico,664
Lajas,puerto rico,667
Lares,puerto rico,669
Las Marias,puerto rico,670
Manati,puerto rico,674
Moca,puerto rico,676
Rincon,puerto rico,677
Quebradillas,puerto rico,678
Mayaguez,puerto rico,680
Mayaguez,puerto rico,682
San German,puerto rico,683
San Sebastian,puerto rico,685
Morovis,puerto rico,687
Sabana Hoyos,puerto rico,688
San Antonio,puerto rico,690
Vega Alta,puerto rico,692
Vega Baja,puerto rico,693
Vega Baja,puerto rico,694
Yauco,puerto rico,698
Aguas Buenas,puerto rico,703
Aguirre,puerto rico,704
Aibonito,puerto rico,705
Maunabo,puerto rico,707
Arroyo,puerto rico,714
Mercedita,puerto rico,715
Ponce,puerto rico,716
Ponce,puerto rico,717
Naguabo,puerto rico,718
Naranjito,puerto rico,719
Orocovis,puerto rico,720
Patillas,puerto rico,723
Caguas,puerto rico,725
Caguas,puerto rico,727
Ponce,puerto rico,728
Canovanas,puerto rico,729
Ponce,puerto rico,730
Ponce,puerto rico,731
Ceiba,puerto rico,735
Cayey,puerto rico,736
Fajardo,puerto rico,738
Cidra,puerto rico,739
Puerto Real,puerto rico,740
Punta Santiago,puerto rico,741
Rio Grande,puerto rico,745
Salinas,puerto rico,751
San Lorenzo,puerto rico,754
Santa Isabel,puerto rico,757
Vieques,puerto rico,765
Villalba,puerto rico,766
Yabucoa,puerto rico,767
Coamo,puerto rico,769
Las Piedras,puerto rico,771
Loiza,puerto rico,772
Luquillo,puerto rico,773
Culebra,puerto rico,775
Juncos,puerto rico,777
Gurabo,puerto rico,778
Coto Laurel,puerto rico,780
Comerio,puerto rico,782
Corozal,puerto rico,783
Guayama,puerto rico,784
La Plata,puerto rico,786
Humacao,puerto rico,791
Barranquitas,puerto rico,794
Juana Diaz,puerto rico,795
San Juan,puerto rico,901
San Juan,puerto rico,906
San Juan,puerto rico,907
San Juan,puerto rico,909
San Juan,puerto rico,911
San Juan,puerto rico,912
San Juan,puerto rico,913
San Juan,puerto rico,915
San Juan,puerto rico,917
San Juan,puerto rico,918
San Juan,puerto rico,920
San Juan,puerto rico,921
San Juan,puerto rico,923
San Juan,puerto rico,924
San Juan,puerto rico,925
San Juan,puerto rico,926
San Juan,puerto rico,927
Fort Buchanan,puerto rico,934
San Juan,puerto rico,936
Toa Baja,puerto rico,949
Toa Baja,puerto rico,950
Toa Baja,puerto rico,951
Sabana Seca,puerto rico,952
Toa Alta,puerto rico,953
Bayamon,puerto rico,956
Bayamon,puerto rico,957
Bayamon,puerto rico,959
Bayamon,puerto rico,960
Bayamon,puerto rico,961
Catano,puerto rico,962
Guaynabo,puerto rico,965
Guaynabo,puerto rico,966
